gid;code;name;geom
1;"BK88";"Borough Park";"010600000001000000010300000001000000820000000C71B897777E52C0BAC01CA6CD504440A13D92DF897E52C001C66D4EBC50444044EDAB24877E52C0424512A19F504440A18B5DB4847E52C04EDE81F985504440017A1F30827E52C0D3C81FEC6D50444069F6FD3F807E52C0F19D74515450444030512E377F7E52C0EBD0 (...)"
2;"QN52";"East Flushing";"0106000000010000000103000000010000005D000000D911682CE07252C059129E86FF604440AC526223DD7252C0BE62A96CB860444064179F5ADA7252C09C96B4C074604440FDEA1A2EDB7252C038F9AD8F5860444056352AA4DB7252C09BE0C3254160444011451F17DC7252C05F17DBC7296044406BEF20ADDC7252C07098 (...)"
3;"QN48";"Auburndale";"010600000001000000010300000001000000BD0000005C918BB2A57152C0786C784B255F44407D2D06A9A67152C091628508255F44408A1147B5CB7152C04D1C682E1A5F4440EC79F091D47152C04E5C059D175F4440E20D03E4E57152C0764D09C1115F4440C5476284F17152C04EAB5C3E0D5F4440455CC8C1F67152C08235 (...)"
4;"QN51";"Murray Hill";"010600000001000000010300000001000000790000004079924C717352C03D4C3031476344405921796A437352C0826E58F33F6344407963F11C1D7352C03B579CC5396344407FF1F71D1B7352C0B85B267339634440F234AD3F167352C019ABB13A2E634440BA1C3E0A107352C0B6E57A0D20634440D0C728E00D7352C094DA (...)"
5;"QN27";"East Elmhurst";"0106000000010000000103000000010000007000000062B99C371C7752C0431AF1C1BF614440F7993C15097752C0FA228BC78F614440BEBE52C7047752C03CC07C0086614440E57F4413FC7652C03094D22876614440FE9D37E2FB7652C0E0FCBC79716144403B31B54DF97652C02D97C3A66D614440F49789A4F67652C0E09C (...)"
6;"BX35";"Morrisania-Melrose";"010600000001000000010300000001000000A30000009EB49FE3677952C0B42533B9CB6A4440530CE3EE647952C00AB2E49BC46A444021F70F035D7952C0EF8C4E8BB16A44406F7B21D05F7952C08B837E4DA16A444034598467637952C08A4CD9DD7D6A44401CE101D0667952C066EBE44C5F6A44405996FD446B7952C0B173 (...)"
7;"BX98";"Rikers Island";"010600000001000000010300000001000000FA010000AE6A5922DD7752C070F267D49A6444408BA7EB58DD7752C034C56E6C9A6444409EB396ECDE7752C096B87D30986444404445E2AAE07752C058CD24E596644440325B158CE27752C0B20AA1E995644440AB89F8E9E37752C0604E0C8095644440A9D2BC0AE57752C03409 (...)"
8;"QN07";"Hollis";"010600000001000000010300000001000000660000009C7FDEE4767052C0651138F7EB5B44403B9D557B607052C0044788ACAF5B4440639184044D7052C0657E779E7B5B44401EE281C5427052C0CE27A23A615B4440B59FDE51427052C01B8FD656605B4440DE1B30B4417052C0A1152AF15E5B444006BCEDC13C7052C06B1C (...)"
9;"MN06";"Manhattanville";"01060000000100000001030000000100000073000000E140F18B8C7C52C064322F271F694440277376DD917C52C00899328108694440F4177008977C52C00DB19D4BF26844400A37DB3D9C7C52C02C31E7D1DB684440B9D3F65FA17C52C033003CC1C56844403B540691A67C52C0EB0D457DAF6844403B41EE26AC7C52C0425F (...)"
10;"QN02";"Springfield Gardens North";"01060000000100000001030000000100000061000000AB60BCFEA87052C08923E8006A5644402C4F3742907052C0FCD39E0C25564440F1D081D78C7052C0D758729A1C5644407E0C86718C7052C098ADE6FA18564440C32B8A7D857052C02C729B421B564440CBA1617F697052C055DC4A8D125644402608CF3D687052C0A321 (...)"
11;"QN71";"Old Astoria";"0106000000010000000103000000010000006100000095383AE5687B52C03AA8F56C7163444064C6516D617B52C0A84D18D36A634440F5B09E225A7B52C04E930742636344409034A3194D7B52C0A6C2224155634440C9F11EF2437B52C096653B224B634440A82C8E5B387B52C05AB3A3773E634440F3583702377B52C054B4 (...)"
12;"QN46";"Bayside-Bayside Hills";"0106000000010000000103000000010000004F0100005690918B237152C0835C50EFAD63444013B2D16E207152C02230824D9F6344404A9531AB207152C0446A835495634440E112C65C1E7152C089C97D378A634440A48783C6187152C0C6A03FB272634440234E6A05187152C0AB50D9A66F634440D6E6058A167152C07D78 (...)"
13;"QN38";"Pomonok-Flushing Heights-Hillcrest";"010600000001000000010300000001000000DE0000000F44E040F87252C007D24B09805E4440EE81CC0DF87252C0AD241E707E5E44403D008094F77252C003522DDA7A5E4440E7FCF6E8F27252C0494429837B5E444001FAD0E9F97252C032D0E1E8765E4440C8DC4C06FA7252C0DA2A4CCA735E4440D575962CEF7252C097C1 (...)"
14;"MN15";"Clinton";"010600000001000000010300000001000000BA000000D50EAEED9A7F52C0B86DC76DEF624440795457369A7F52C052536383EE6244400FBC3232997F52C07E73CD36ED624440BEA622FE967F52C008C60CC9EA6244400B4A058C957F52C0780C8886E9624440A51F96A39B7F52C015FB46B3D8624440DCF2631F9A7F52C010CE (...)"
15;"BK25";"Homecrest";"01060000000100000001030000000100000052000000C8648D95597D52C0669FBFAF214E4440669F0678547D52C01214ED6EEB4D4440189EA7594B7D52C046C453D98A4D44408B26532E487D52C060A4A5D96A4D444081FDE721447D52C0269C437E3E4D44403849F6B33C7D52C0C829256EF04C44400938F1E54B7D52C02E88 (...)"
16;"BX59";"Westchester-Unionport";"010600000001000000010300000001000000DD000000514E5234B87552C0405BA20DA26B4440BE863D77BB7552C08B42330D976B44401E998FF9BD7552C099C714E1766B4440586D8085C77552C0984B6088756B4440E140A10BC77552C06257741C6B6B444037CADD39C67552C0D17500D6686B4440855CDE38C57552C02CCB (...)"
17;"QN41";"Fresh Meadows-Utopia";"0106000000010000000103000000010000006E000000D86639CAC37152C086AD27F9765D44409AC875B8D27152C00B6433CD6E5D4440CE90F81EE17152C07EBAEDDE665D4440F6EC3E94EF7152C0016683F05E5D44403772D188FE7152C01401FBD7565D44404921273F0D7252C0B88DE3364D5D444049F71A671B7252C08D96 (...)"
18;"MN11";"Central Harlem South";"0106000000010000000103000000010000004600000069F18DFB457C52C0CEA63DB14E6744409B5FEF094E7C52C0F64B82A138674440D3F27E13567C52C01BF3AB9E226744406D0E6D716F7C52C02EAF85D037674440CBB4434F777C52C0C172522F23674440803474CE7E7C52C0F77869B20E674440DEB44E3A867C52C0AFD0 (...)"
19;"SI99";"park-cemetery-etc-Staten Island";"0106000000030000000103000000010000003E020000E88029858F8752C0B4CF43D279464440EAC03CC4758752C0D1045ED149464440C218D0355B8752C0262BBEEB584644400909D448558752C0E11DF7B04E46444066DB8A1C538752C03E0E3F2F4B4644408CE939FB4A8752C02CF5A1A13C464440345879AC418752C0520A (...)"
20;"QN18";"Rego Park";"0106000000010000000103000000010000007D00000040334458F57652C03A1A6BB32B5E4440A2984B76F47652C06EC216C3285E44400F558407F37652C028C5D1F1235E444023E56619EF7652C09D764785145E444051AC345BE97652C042FE2FA5FE5D4440C06A80C4E37652C0D34D4CD4E85D4440260FB427DE7652C074BC (...)"
21;"MN17";"Midtown-Midtown South";"01060000000100000001030000000100000065000000CDE42BE0457E52C0E41EECE3D361444074A2CA9A2B7E52C06CA9FE3BBD614440DAB0F8EB127E52C0CEDEF09BA861444048233B35117E52C049366526A7614440BAC7A0B5187E52C0054987AD9261444021D249C7207E52C0FC2ED9647C61444060B472D7287E52C0ACC5 (...)"
22;"MN19";"Turtle Bay-East Midtown";"01060000000300000001030000000100000008000000AC080D12857D52C0E8654F33C65E4440A3C9B754857D52C0F9E086D2C25E44406E562966887D52C07FE4E063C35E4440CD5760898B7D52C0B83336FDC35E444068FED2578B7D52C08D06B35BC75E4440812EBFD4857D52C0C9158180C65E44403E2D6411857D52C085F0 (...)"
23;"QN47";"Ft. Totten-Bay Terrace-Clearview";"0106000000010000000103000000010000007E0100005690918B237152C0835C50EFAD634440555CC444267152C0823DA9EEAE63444084DE4875277152C01357C1A1B1634440BDE02BBE287152C0F5466BD5B06344405FC72217287152C035247707AE634440A0EA56272B7152C093F8B582AC6344406936AF722C7152C0B3CD (...)"
