gid;playgrounds;playgrounds_area;rating
147;11;894601.281805346;1
146;22;796576.517199634;0.890426308793238
117;21;705470.169102064;0.788586137143011
35;14;695303.552041521;0.777221725681375
123;22;647696.519213906;0.724005802793871
161;12;637017.784046784;0.712068937304956
138;23;636410.171388375;0.71138973789985
145;24;600715.061474254;0.671489158010129
6;9;596920.543013998;0.667247582978402
125;14;583812.223748745;0.652594888496678
37;31;575872.870767328;0.643720149388999
78;22;563472.463300991;0.62985877033831
124;30;559221.96690342;0.625107495682193
194;31;555713.518720135;0.621185694702651
80;8;549093.890243862;0.613786165313519
18;13;544982.860482856;0.609190788753461
9;12;539879.979893241;0.603486705053382
85;20;508052.598622801;0.567909535740356
141;14;492039.122862446;0.550009409632735
131;15;471688.567418811;0.527261224650742
126;3;471002.094665541;0.526493874136909
82;42;469554.106718756;0.524875289437518
81;34;461361.423653575;0.515717373803139
162;16;454478.020535873;0.508022992789275
156;15;452481.081282568;0.505790781306998
184;18;451095.767279018;0.504242254570311
168;7;451067.661526827;0.504210837499084
84;25;447177.527989524;0.499862382364464
155;9;437276.207747785;0.488794524042422
148;20;436507.644103531;0.487935410982911
74;14;432476.201272915;0.48342899800027
176;9;424742.511466531;0.474784152566137
95;18;415265.388839286;0.464190469301879
112;33;407432.9862702;0.455435281120973
28;32;395342.740806759;0.441920606249232
163;9;395151.47747902;0.441706808961403
137;15;393642.440280627;0.440019982406284
165;10;382955.187427702;0.428073595708338
164;12;378421.155350401;0.423005380214446
91;12;378232.28291977;0.422794255510656
136;7;359730.946914321;0.402113158376397
69;14;359344.329529404;0.401680991116211
158;5;354139.623815028;0.395863085619951
86;45;330868.823540386;0.369850603022475
159;21;322854.137306227;0.360891655168091
195;62;316316.126321037;0.353583359150454
151;35;315328.183368575;0.352479020298549
88;5;303407.604027034;0.339154001003378
43;15;300458.032902061;0.335856921975031
118;17;298352.442539721;0.333503258499286
100;23;293441.058703968;0.328013233014591
103;17;288869.207828996;0.322902743047768
166;9;288333.114285448;0.322303488883426
31;8;280774.995389311;0.31385489949522
11;10;271322.607127132;0.303288864710311
150;17;268386.872438346;0.300007252277494
113;14;263412.955665797;0.294447326449408
26;6;261440.354131434;0.292242320068931
75;15;258409.826736481;0.288854746792893
20;9;248133.768874978;0.27736800060719
130;9;243037.471233832;0.271671275434986
76;15;236392.867235929;0.264243827997739
42;9;235522.255091044;0.263270643448833
89;14;228725.121031112;0.255672695404073
16;11;227371.799080275;0.254159929909142
49;5;227310.180806734;0.254091051991353
30;14;225391.986775522;0.25194686321114
90;3;223021.460415741;0.249297049927844
96;12;222374.713551255;0.248574105664696
15;14;215891.661237228;0.241327243351975
87;2;214500.030897072;0.239771656110532
79;10;211597.12342481;0.236526738479289
182;19;210109.050795279;0.234863346463432
160;20;209014.250449751;0.233639560663216
120;18;207913.925996717;0.232409599924938
175;17;206840.679729151;0.231209907626934
10;15;206191.107738279;0.23048380539113
107;14;205973.098132997;0.230240110675153
54;19;204203.841160523;0.228262406184384
32;4;203579.530808907;0.227564541823677
17;13;203575.45284587;0.227559983409643
94;19;200322.558352878;0.223923844540686
55;20;199674.436825077;0.223199363656315
143;25;195595.458292023;0.218639814485066
119;10;193394.733178361;0.21617980782241
53;16;192990.9032577;0.21572840010718
167;21;192643.944994038;0.21534056446384
34;24;192589.868292438;0.215280116638983
185;8;192015.191385571;0.214637733357676
48;32;191700.19683162;0.214285627273818
140;36;189598.748951645;0.21193659433287
114;24;188040.011021841;0.210194211484213
92;14;186090.140866633;0.208014614612551
72;22;184243.493241003;0.205950401579116
183;5;184173.077834029;0.20587169008115
122;7;182795.004635768;0.204331257235491
58;10;182642.872497843;0.204161201434075
177;10;179208.990654527;0.200322751933549
149;8;178364.678790806;0.199378966270714
179;20;176510.27335198;0.197306081426325
169;10;175000.834041692;0.195618805383927
41;3;174939.203831078;0.195549914122684
83;5;174470.435998548;0.195025917743442
65;12;174343.015209798;0.194883484693836
13;15;174209.68095099;0.194734441470313
47;16;172876.308215793;0.193243975536141
193;8;172036.451527374;0.192305169941403
189;20;170845.156356368;0.190973520641055
14;9;170209.4380998;0.190262904336901
33;3;167081.898934627;0.186766889711412
180;88;166957.821487577;0.186628193904047
50;14;164855.158528958;0.184277802728243
142;9;163823.059273498;0.183124105235906
73;3;163292.293779617;0.182530806852954
40;13;159903.385765833;0.178742629837441
57;20;159522.470233397;0.178316836201568
97;36;156553.201310032;0.174997738650788
178;28;155203.813317067;0.173489370598552
45;14;154299.832410217;0.172478885899686
66;9;149876.804058535;0.167534752192705
101;5;146841.238960502;0.164141547689458
60;10;146257.113239776;0.163488602368893
44;12;145227.986539263;0.162338227647278
192;38;141619.46583529;0.15830456396116
77;3;140809.267950115;0.157398911463614
121;23;138897.002933043;0.155261350232746
1;19;138566.418422357;0.154891817439299
153;19;138532.035486675;0.154853383629309
191;11;136537.094661719;0.15262340602305
127;15;135888.670184653;0.151898586497019
24;26;129209.326078379;0.144432305996286
3;7;127052.113208257;0.142020938033824
170;86;126438.585684367;0.141335126894976
115;18;126226.769958667;0.141098355799285
106;7;125202.700831763;0.139953634516483
5;3;122788.228901668;0.137254698153211
93;12;122631.966019774;0.137080024938369
36;12;122553.869805812;0.136992727708251
157;0;122534.260129629;0.13697080769027
128;20;120807.41198023;0.135040508478185
2;2;119945.272191547;0.134076794468137
8;5;119153.287414003;0.133191500881316
181;21;117678.9155971;0.131543423858749
132;12;116186.123205537;0.129874756015404
22;5;116037.271802274;0.129708367473055
152;16;111793.602472688;0.124964724225616
25;15;110980.592440915;0.124055928264434
129;15;108843.993924586;0.121667603365082
144;4;108614.621536883;0.121411207144365
174;47;107368.537398061;0.12001831383629
64;7;104531.9740896;0.116847556800556
4;12;103825.628929885;0.116057992584541
