gid;distance_to_subway;rating
110;16145.22864269;0
71;16060.18711853;0.00526728521732656
70;13411.49906418;0.169321205602606
109;13281.28199863;0.177386564627977
46;10312.61662195;0.361259177545361
67;9774.75542687;0.394573118585368
135;8661.21549546;0.463543336106206
68;8117.40206418;0.497225945582674
104;7267.41717994;0.549872142366319
52;6773.65393419;0.580454753283604
116;6047.25543249;0.625446280983578
108;5699.90477822;0.646960417571992
111;5396.41663303;0.665757806689637
134;5110.72408288;0.683452975737574
172;4900.85475178;0.696451821139186
19;4446.81501555;0.724574045127359
62;4114.76568796;0.745140451149757
128;4011.10069843;0.751561232906659
121;3967.02186372;0.754291379111802
115;3779.00914762;0.765936473787195
188;3621.08039128;0.775718234072857
171;3430.38860302;0.787529264593403
59;3378.48154516;0.790744273746185
12;3263.23969373;0.797882100901217
10;3193.38455648;0.802208774669422
3;2970.43138933;0.816018004138027
23;2840.58965221;0.824060116144833
153;2609.7653349;0.838356867365789
186;2448.51244287;0.848344517314804
99;2390.5072581;0.851937231054183
61;2325.64876069;0.855954423925549
127;2276.26502139;0.859013144269059
39;2270.87879867;0.859346755073786
7;1852.34673972;0.885269711521944
17;1600.60787126;0.900861864103442
54;1559.6464612;0.90339892387302
63;1189.7613467;0.926308795432347
8;1054.06024268;0.934713823755154
154;1046.08642242;0.93520770466799
103;990.46894784;0.938652528882677
24;975.46843151;0.939581627916328
13;846.44525483;0.947573040087404
47;811.80150758;0.949718797698938
2;797.35045526;0.950613864138678
5;723.84458057;0.955166656565268
4;708.34631323;0.956126585203195
98;703.40716398;0.956432505259163
40;558.43428811;0.96541180676541
55;524.4800367;0.967514858519054
146;463.73812804;0.971277078925112
90;459.29686835;0.971552160795322
179;426.16246725;0.973604432821523
169;395.01111154;0.975533879371919
89;171.48084837;0.989378852900442
72;154.72531819;0.990416653637169
73;154.16948016;0.990451081023879
129;101.43827539;0.993717136026071
36;96.8827431;0.993999295690132
38;44.01887664;0.997273567466018
163;38.01384502;0.997645505934832
43;28.14697192;0.998256638382588
177;25.1428408;0.998442707665748
183;6.10228404;0.999622037929902
126;2.84333269;0.999823890218409
187;2.22592025;0.999862131388829
180;0.84828933;0.999947458822122
11;0.77149135;0.99995221552032
136;0.59892974;0.999962903607421
29;0.32677452;0.999979760303974
26;0.25312675;0.999984321885084
131;0.20178716;0.999987501746524
120;0;1
122;0;1
123;0;1
124;0;1
125;0;1
130;0;1
132;0;1
133;0;1
137;0;1
138;0;1
139;0;1
140;0;1
141;0;1
142;0;1
143;0;1
144;0;1
145;0;1
147;0;1
148;0;1
149;0;1
150;0;1
151;0;1
152;0;1
155;0;1
156;0;1
157;0;1
158;0;1
159;0;1
160;0;1
161;0;1
162;0;1
164;0;1
165;0;1
166;0;1
167;0;1
168;0;1
170;0;1
173;0;1
174;0;1
175;0;1
176;0;1
178;0;1
181;0;1
182;0;1
184;0;1
185;0;1
189;0;1
190;0;1
191;0;1
192;0;1
193;0;1
194;0;1
1;0;1
195;0;1
6;0;1
9;0;1
14;0;1
15;0;1
16;0;1
18;0;1
20;0;1
21;0;1
22;0;1
25;0;1
27;0;1
28;0;1
30;0;1
31;0;1
32;0;1
33;0;1
34;0;1
35;0;1
37;0;1
41;0;1
42;0;1
44;0;1
45;0;1
48;0;1
49;0;1
50;0;1
51;0;1
53;0;1
56;0;1
57;0;1
58;0;1
60;0;1
64;0;1
65;0;1
66;0;1
69;0;1
74;0;1
75;0;1
76;0;1
77;0;1
78;0;1
79;0;1
80;0;1
81;0;1
82;0;1
83;0;1
84;0;1
85;0;1
86;0;1
87;0;1
88;0;1
91;0;1
92;0;1
93;0;1
94;0;1
95;0;1
96;0;1
97;0;1
100;0;1
101;0;1
102;0;1
105;0;1
106;0;1
107;0;1
112;0;1
113;0;1
114;0;1
117;0;1
118;0;1
119;0;1
